Team_ID,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
1393,1,0,0,0,0,0
1421,0,0,0,0,0,0
1243,1,1,0,0,0,0
1379,0,0,0,0,0,0
1435,1,0,0,0,0,0
1217,0,0,0,0,0,0
1458,1,1,1,1,0,0
1285,0,0,0,0,0,0
1153,0,0,0,0,0,0
1400,1,0,0,0,0,0
1199,0,0,0,0,0,0
1382,1,1,0,0,0,0
1211,0,0,0,0,0,0
1452,1,1,1,0,0,0
1326,1,0,0,0,0,0
1259,0,0,0,0,0,0
1314,1,1,1,1,1,0
1436,0,0,0,0,0,0
1166,1,0,0,0,0,0
1104,0,0,0,0,0,0
1396,1,1,0,0,0,0
1378,0,0,0,0,0,0
1276,0,0,0,0,0,0
1325,1,0,0,0,0,0
1361,1,0,0,0,0,0
1301,0,0,0,0,0,0
1207,0,0,0,0,0,0
1125,1,1,0,0,0,0
1388,1,1,1,0,0,0
1345,0,0,0,0,0,0
1242,1,0,0,0,0,0
1178,0,0,0,0,0,0
1246,1,1,0,0,0,0
1443,0,0,0,0,0,0
1235,0,0,0,0,0,0
1163,1,0,0,0,0,0
1455,1,1,1,0,0,0
1433,0,0,0,0,0,0
1231,1,0,0,0,0,0
1308,0,0,0,0,0,0
1424,1,1,1,1,1,1
1160,0,0,0,0,0,0
1124,0,0,0,0,0,0
1355,1,0,0,0,0,0
1323,1,0,0,0,0,0
1462,0,0,0,0,0,0
1181,0,0,0,0,0,0
1250,1,1,0,0,0,0
1277,1,1,0,0,0,0
1254,0,0,0,0,0,0
1272,0,0,0,0,0,0
1387,1,0,0,0,0,0
1307,1,1,1,1,0,0
1253,0,0,0,0,0,0
1257,1,0,0,0,0,0
1172,0,0,0,0,0,0
1293,1,1,0,0,0,0
1161,0,0,0,0,0,0
1266,0,0,0,0,0,0
1140,1,0,0,0,0,0
1196,0,0,0,0,0,0
1438,1,0,0,0,0,0
1281,1,1,1,0,0,0
1313,0,0,0,0,0,0
