Team_ID,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
1231,1,1,0,0,0,0
1241,0,0,0,0,0,0
1301,1,0,0,0,0,0
1396,0,0,0,0,0,0
1424,1,0,0,0,0,0
1143,0,0,0,0,0,0
1393,1,1,1,0,0,0
1285,0,0,0,0,0,0
1139,1,0,0,0,0,0
1137,0,0,0,0,0,0
1266,1,1,1,1,1,0
1172,0,0,0,0,0,0
1228,1,0,0,0,0,0
1160,0,0,0,0,0,0
1274,1,1,0,0,0,0
1334,0,0,0,0,0,0
1242,1,0,0,0,0,0
1443,0,0,0,0,0,0
1314,1,1,1,1,0,0
1437,0,0,0,0,0,0
1433,1,0,0,0,0,0
1103,0,0,0,0,0,0
1276,1,1,0,0,0,0
1355,0,0,0,0,0,0
1417,0,0,0,0,0,0
1278,1,1,0,0,0,0
1196,0,0,0,0,0,0
1322,1,0,0,0,0,0
1361,1,0,0,0,0,0
1328,0,0,0,0,0,0
1207,1,1,1,0,0,0
1195,0,0,0,0,0,0
1257,0,0,0,0,0,0
1299,1,0,0,0,0,0
1161,0,0,0,0,0,0
1281,1,1,0,0,0,0
1329,1,0,0,0,0,0
1332,0,0,0,0,0,0
1387,1,1,1,1,0,0
1308,0,0,0,0,0,0
1272,0,0,0,0,0,0
1388,1,1,0,0,0,0
1277,0,0,0,0,0,0
1434,1,0,0,0,0,0
1166,1,1,1,0,0,0
1153,0,0,0,0,0,0
1181,1,0,0,0,0,0
1107,0,0,0,0,0,0
1211,1,1,1,1,1,1
1380,0,0,0,0,0,0
1338,0,0,0,0,0,0
1455,1,0,0,0,0,0
1458,0,0,0,0,0,0
1279,1,0,0,0,0,0
1243,1,1,0,0,0,0
1247,0,0,0,0,0,0
1112,0,0,0,0,0,0
1125,1,0,0,0,0,0
1307,1,1,0,0,0,0
1217,0,0,0,0,0,0
1323,1,0,0,0,0,0
1235,0,0,0,0,0,0
1326,1,1,1,0,0,0
1233,0,0,0,0,0,0
