,1,2,3,4,5,6
1326,0.7731538414955139,0.5163049602829342,0.33760544101569884,0.19221506060784724,0.10976363837466387,0.06287080862941986
1427,0.2268461585044861,0.06601866379699545,0.016867674760487776,0.004083254580127778,0.0010609650845564223,0.0002576285579241156
1206,0.5042781829833984,0.1885030132732243,0.08302635294417371,0.032523826176343855,0.01292577339073032,0.004963884643739971
1437,0.4957218170166016,0.22917336264684618,0.09919986844763183,0.04052025138187024,0.017640856877432692,0.007521332670108694
1452,0.6857078373432159,0.39217534681860095,0.209989087519154,0.10499193247804714,0.05213426066925,0.025804406082022262
1155,0.3142921626567841,0.10021168631806217,0.028897684244234542,0.008169420686740756,0.0020560365396223297,0.0005508874184317313
1246,0.658382773399353,0.38395193484196255,0.18155694016069246,0.08436996606677391,0.03973022011091196,0.019064759104410547
1343,0.341617226600647,0.12366103202137434,0.042856950907926954,0.01260412569588584,0.003459079148909767,0.001036182305490884
1462,0.7533390820026398,0.4116396349686028,0.23762488553126637,0.1315207604682509,0.0680243607569012,0.036545363717875375
1266,0.24666091799736026,0.06342218022625594,0.017490026263531928,0.004948485465791232,0.0012980787593560627,0.0003569667881660243
1393,0.8441485464572906,0.4835303821207011,0.28561512367606573,0.16402985619191426,0.08923820715156333,0.050009541487736967
1232,0.15585145354270935,0.04140780268444019,0.009680110333668225,0.0020373847593043327,0.0004374692901535457,8.756318685651041e-05
1449,0.6416028141975403,0.34960209526731967,0.16716505672466606,0.08304880673656051,0.041638283159033875,0.020504667876805372
1208,0.3583971858024597,0.11172662884670595,0.03553980597871971,0.011284365467040685,0.0035898822235159596,0.0011039929549354155
1314,0.839402437210083,0.4896744520482153,0.23636464804975832,0.12115892702908887,0.06007161598436352,0.03000733495451646
1254,0.160597562789917,0.04899682383775907,0.010520343442323776,0.0024935762084126287,0.0005427543683466945,0.00011870670356891953
1181,0.7717262506484985,0.4878628481782841,0.27588866035007464,0.15053412685484083,0.07577812950456483,0.03889905115176596
1214,0.22827374935150144,0.07250831089341908,0.016716498811990006,0.003308126181196157,0.0005993321566932541,0.00010968358829951903
1276,0.4431352317333221,0.20102785493606462,0.06888585086371793,0.021316972973005846,0.006275609173772156,0.001998856545833135
1397,0.5568647682666779,0.23860098599223212,0.07677471949625236,0.030644821709393942,0.010774539330118122,0.0037795361717030767
1112,0.6405743360519409,0.27776823184254434,0.1308542141002646,0.05346126966332061,0.022703946715357134,0.009467258348263136
1272,0.3594256639480591,0.10297430276713561,0.03964073288319425,0.011862284328050634,0.003449789328806238,0.001039159589088157
1400,0.7817938327789307,0.5301555674354448,0.35679477728133757,0.2102620499404662,0.11740083837365976,0.06513302600564544
1324,0.21820616722106934,0.08910189795487529,0.03444454621316873,0.009862606519342777,0.002826334065067015,0.0008292431580607971
1153,0.5951753854751587,0.2868621915764164,0.10735053886469026,0.04600483235303708,0.01880094898604213,0.007720749811113683
1281,0.4048246145248413,0.18597900248322677,0.05100309466682997,0.0183751485876179,0.0057848687063457235,0.0019145457508366822
1163,0.8046198338270187,0.4674461957929621,0.18411229598521744,0.08066868580817387,0.03320079293674817,0.014008577689238128
1137,0.19538016617298126,0.05971261014739475,0.011727615465153642,0.0028683081758043437,0.0006286028752340461,0.00013304453044042576
1396,0.7459203600883484,0.34229690739154484,0.1957882992587351,0.09424086958587953,0.04569225805432458,0.021928282150643415
1336,0.2540796399116516,0.048487311544431234,0.02140915473733625,0.006999992704494637,0.002137902388204409,0.0006271775101521832
1361,0.8912735432386398,0.5824681072351577,0.41985469799895386,0.2573982987244445,0.1498945771380475,0.0905806525133321
1294,0.10872645676136017,0.026747673828866128,0.008754303023083356,0.0021916058909312083,0.00044004837770363,9.44752637759221e-05
1338,0.7533947229385376,0.5392897113210475,0.30488265835110717,0.18114470303204677,0.10084557444119475,0.05255230087019126
1421,0.2466052770614624,0.07875146267817021,0.016794261647402678,0.004937907099777775,0.0012597389082451493,0.00030513104499682174
1139,0.4666611254215241,0.17656139624787753,0.06482629255253569,0.02514050177812673,0.008814688216958551,0.002836814979771338
1330,0.5333388745784761,0.20539742975290493,0.084129799558964,0.03855322189134371,0.01605765481346341,0.006072568945069449
1243,0.5391747355461121,0.21331051187837066,0.09118768791376525,0.04513655781258805,0.01873980754772659,0.006888322208721287
1429,0.460825264453888,0.13440017183836228,0.05469198389143886,0.023692008600576908,0.008886925429328098,0.003116863810414121
1458,0.7936056703329086,0.578217131556958,0.36252784983044123,0.23588630878621597,0.14483764715457909,0.08247641843428233
1125,0.20639432966709134,0.0740721847263091,0.020959466254345277,0.006196566464467781,0.0015923843396434033,0.00037646287372769316
